pmc_id,badge,is_accession_available,database,sequencing_method,is_primer_seq_available,is_code_available
PMC10813514,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10814853,00_None,FALSE,,shotgun,NA,TRUE
PMC10821022,00_None,FALSE,,marker-gene,TRUE,TRUE
PMC10824975,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10828666,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10835015,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10844036,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10878022,00_None,FALSE,,marker-gene,FALSE,TRUE
PMC10881109,00_None,FALSE,,shotgun,NA,FALSE
PMC10885071,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10892346,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10907812,00_None,FALSE,,marker-gene,FALSE,TRUE
PMC10909814,00_None,FALSE,,shotgun,NA,FALSE
PMC10910051,00_None,"""Data not disclosed""",NMDC,shotgun,NA,TRUE
PMC10930907,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10938217,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10967912,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10973929,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC11000514,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11006835,00_None,FALSE,,shotgun,NA,FALSE
PMC11012253,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11017998,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC11020204,00_None,FALSE,,shotgun,NA,FALSE
PMC11052010,00_None,FALSE,,shotgun,NA,FALSE
PMC11077820,00_None,"""No public data is associated with this project""",EMBL-EBI European Nucleotide Archive,shotgun,NA,FALSE
PMC11089716,00_None,No public records found for given accession IDs,"EMBL-EBI European Nucleotide Archive, NCBI Sequence Read Archive",marker-gene,FALSE,FALSE
PMC11098719,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11123992,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11124125,00_None,FALSE,,shotgun,NA,FALSE
PMC11132091,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11137223,00_None,No public records found for given accession IDs,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC11168268,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11173755,00_None,FALSE,,shotgun,NA,FALSE
PMC11174071,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11201546,00_None,FALSE,,shotgun,NA,TRUE
PMC11240908,00_None,FALSE,,shotgun,NA,FALSE
PMC11246047,00_None,FALSE,,marker-gene,FALSE,TRUE
PMC11254947,00_None,FALSE,,shotgun,NA,TRUE
PMC10846256,01_Bronze,TRUE,EMBL-EBI European Nucleotide Archive,marker-gene,FALSE,TRUE
PMC10952111,01_Bronze,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC11116651,01_Bronze,TRUE,NCBI Sequence Read Archive,marker-gene,FALSE,FALSE
PMC11118803,01_Bronze,TRUE,NCBI Sequence Read Archive,marker-gene,FALSE,FALSE
PMC11148165,01_Bronze,TRUE,NCBI Sequence Read Archive,marker-gene,FALSE,TRUE
PMC11212766,01_Bronze,TRUE,NCBI Sequence Read Archive,marker-gene,FALSE,FALSE
PMC10767324,02_Silver,TRUE,NIG DNA Data Bank of Japan,marker-gene,TRUE,FALSE
PMC10825054,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,TRUE
PMC10832282,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC10851434,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC10873414,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC10899393,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC10908214,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC10923939,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC10926694,02_Silver,TRUE,NIG DNA Data Bank of Japan,shotgun,NA,FALSE
PMC10949422,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC10957563,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC10958879,02_Silver,TRUE,"EMBL-EBI European Nucleotide Archive, NCBI Sequence Read Archive",marker-gene,TRUE,TRUE
PMC10970062,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC10986321,02_Silver,TRUE,"EMBL-EBI European Nucleotide Archive, NCBI Sequence Read Archive",shotgun,NA,FALSE
PMC11001937,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC11013109,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC11024242,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC11034497,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,TRUE
PMC11054128,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC11092197,02_Silver,TRUE,EMBL-EBI European Nucleotide Archive,shotgun,NA,TRUE
PMC11094713,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC11127362,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC11142649,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC11143213,02_Silver,TRUE,"EMBL-EBI European Nucleotide Archive, NCBI Sequence Read Archive",shotgun,NA,TRUE
PMC11148242,02_Silver,TRUE,EMBL-EBI European Nucleotide Archive,marker-gene,TRUE,FALSE
PMC11170330,02_Silver,TRUE,GSA,marker-gene,TRUE,TRUE
PMC11178274,02_Silver,TRUE,EMBL-EBI European Nucleotide Archive,shotgun,NA,FALSE
PMC11179378,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC11180985,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC11208268,02_Silver,TRUE,GSA,shotgun,NA,TRUE
PMC11211266,02_Silver,TRUE,Figshare,marker-gene,TRUE,FALSE
PMC11215963,02_Silver,TRUE,EMBL-EBI European Nucleotide Archive,shotgun,NA,FALSE
PMC11218497,02_Silver,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC11238135,02_Silver,TRUE,NCBI Sequence Read Archive,shotgun,NA,FALSE
PMC10876974,03_Gold,TRUE,NCBI Sequence Read Archive,shotgun,NA,TRUE
PMC10913427,03_Gold,TRUE,NGDC,shotgun,NA,TRUE
PMC10917986,03_Gold,TRUE,NIG DNA Data Bank of Japan,marker-gene,TRUE,TRUE
PMC10981462,03_Gold,TRUE,EMBL-EBI European Nucleotide Archive,shotgun,NA,TRUE
PMC10997323,03_Gold,TRUE,"EMBL-EBI European Nucleotide Archive, NCBI Sequence Read Archive",shotgun,NA,TRUE
PMC11009740,03_Gold,TRUE,NCBI Sequence Read Archive,marker-gene,TRUE,TRUE
PMC11082422,03_Gold,TRUE,EMBL-EBI European Nucleotide Archive,marker-gene,TRUE,TRUE